seed_status,major_group,family,notes
seed,Angiosperms,Trimeniaceae,
seed,Angiosperms,Triuridaceae,
seed,Angiosperms,Trochodendraceae,
seed,Angiosperms,Tropaeolaceae,
seed,Angiosperms,Typhaceae,
seed,Angiosperms,Ulmaceae,
seed,Angiosperms,Urticaceae,
seed,Angiosperms,Vahliaceae,
seed,Angiosperms,Velloziaceae,
seed,Angiosperms,Verbenaceae,
seed,Angiosperms,Violaceae,
seed,Angiosperms,Vitaceae,
seed,Angiosperms,Vivianiaceae,
seed,Angiosperms,Vochysiaceae,
seed,Angiosperms,Winteraceae,
seed,Angiosperms,Xanthorrhoeaceae,
seed,Angiosperms,Xeronemataceae,
seed,Angiosperms,Xyridaceae,
seed,Angiosperms,Zingiberaceae,
seed,Angiosperms,Zosteraceae,
seed,Angiosperms,Zygophyllaceae,
seed,Gymnosperms,Araucariaceae,
seed,Gymnosperms,Cupressaceae,
seed,Gymnosperms,Cycadaceae,
seed,Gymnosperms,Ephedraceae,
seed,Gymnosperms,Ginkgoaceae,
seed,Gymnosperms,Gnetaceae,
seed,Gymnosperms,Pinaceae,
seed,Gymnosperms,Podocarpaceae,
seed,Gymnosperms,Sciadopityaceae,
seed,Gymnosperms,Taxaceae,
seed,Gymnosperms,Welwitschiaceae,
seed,Gymnosperms,Zamiaceae,
